neg,neu,pos,compound,sentiment
0.417,0.583,0,-0.6124,negative
0.181,0.819,0,-0.4336,negative
0.152,0.732,0.116,-0.1531,negative
0.249,0.751,0,-0.6486,negative
0,0.89,0.11,0.3818,positive
0.28,0.72,0,-0.3612,negative
0.155,0.845,0,-0.296,negative
0.112,0.73,0.157,0.2023,positive
0,0.775,0.225,0.4939,positive
0,0.698,0.302,0.3818,positive
0,1,0,0,neutral
0,1,0,0,neutral
0.171,0.743,0.086,-0.3612,negative
0.135,0.865,0,-0.3595,negative
0,1,0,0,neutral
0,1,0,0,neutral
0.29,0.534,0.176,-0.3612,negative
0,0.852,0.148,0.3818,positive
0.08,0.852,0.068,-0.0516,negative
0.105,0.895,0,-0.25,negative
0.218,0.782,0,-0.5994,negative
0,0.825,0.175,0.3818,positive
0,1,0,0,neutral
0,1,0,0,neutral
0,1,0,0,neutral
0,0.854,0.146,0.6643,positive
0,0.61,0.39,0.8622,positive
0,1,0,0,neutral
0.367,0.633,0,-0.4404,negative
0,1,0,0,neutral
0.141,0.859,0,-0.3818,negative
0,0.722,0.278,0.4019,positive
0,1,0,0,neutral
0.355,0.563,0.082,-0.8074,negative
0,1,0,0,neutral
0.171,0.571,0.257,0.296,positive
0,1,0,0,neutral
0.118,0.826,0.056,-0.4788,negative
0,1,0,0,neutral
0,1,0,0,neutral
0.5,0.5,0,-0.6124,negative
0,0.899,0.101,0.4019,positive
0,1,0,0,neutral
0,1,0,0,neutral
0,1,0,0,neutral
0,1,0,0,neutral
0.161,0.792,0.048,-0.6124,negative
0,1,0,0,neutral
0,0.94,0.06,0.2023,positive
0,1,0,0,neutral
0.134,0.644,0.223,0.2023,positive
0.241,0.759,0,-0.5423,negative
0,1,0,0,neutral
0,1,0,0,neutral
0,0.863,0.137,0.2263,positive
0,1,0,0,neutral
0.33,0.67,0,-0.7506,negative
0,1,0,0,neutral
0,1,0,0,neutral
0,0.881,0.119,0.3182,positive
0,1,0,0,neutral
0,0.864,0.136,0.4588,positive
0.34,0.66,0,-0.5574,negative
0,1,0,0,neutral
0,0.906,0.094,0.4939,positive
0,1,0,0,neutral
0,0.833,0.167,0.6369,positive
0.167,0.833,0,-0.25,negative
0,0.896,0.104,0.296,positive
0,1,0,0,neutral
0,1,0,0,neutral
0,1,0,0,neutral
0.113,0.887,0,-0.1027,negative
0,1,0,0,neutral
0,1,0,0,neutral
0.136,0.864,0,-0.5106,negative
0.086,0.914,0,-0.128,negative
0,1,0,0,neutral
0,1,0,0,neutral
0,1,0,0,neutral
0.155,0.704,0.141,-0.0516,negative
0,1,0,0,neutral
0.358,0.642,0,-0.7717,negative
0.239,0.761,0,-0.296,negative
0.084,0.916,0,-0.296,negative
0,0.924,0.076,0.1027,positive
0,1,0,0,neutral
0.252,0.748,0,-0.8442,negative
0,0.441,0.559,0.765,positive
0,1,0,0,neutral
0.211,0.643,0.146,-0.2732,negative
0.249,0.616,0.134,-0.6249,negative
0,0.943,0.057,0.128,positive
0.13,0.785,0.085,-0.0772,negative
0.18,0.749,0.071,-0.7778,negative
0.106,0.585,0.309,0.5859,positive
0,0.732,0.268,0.296,positive
0.239,0.761,0,-0.296,negative
0.128,0.872,0,-0.4215,negative
0,0.827,0.173,0.3182,positive
0.148,0.753,0.099,-0.2023,negative
0,1,0,0,neutral
0,1,0,0,neutral
0,1,0,0,neutral
0,0.64,0.36,0.5423,positive
0,0.887,0.113,0.5499,positive
0,1,0,0,neutral
0,0.829,0.171,0.5106,positive
0,0.963,0.037,0.0772,positive
0,1,0,0,neutral
0.096,0.766,0.138,0.4404,positive
0,1,0,0,neutral
0.274,0.726,0,-0.6996,negative
0,1,0,0,neutral
0.146,0.648,0.206,0.3612,positive
0,0.769,0.231,0.34,positive
0.131,0.869,0,-0.2057,negative
0.16,0.78,0.06,-0.5207,negative
0.173,0.827,0,-0.6096,negative
0.041,0.819,0.14,0.5994,positive
0,1,0,0,neutral
0,1,0,0,neutral
0,1,0,0,neutral
0.133,0.867,0,-0.3818,negative
0.268,0.732,0,-0.5106,negative
0,1,0,0,neutral
0.205,0.795,0,-0.5574,negative
0,1,0,0,neutral
0.213,0.787,0,-0.4019,negative
0.1,0.9,0,-0.1695,negative
0,0.903,0.097,0.1027,positive
0,1,0,0,neutral
0,1,0,0,neutral
0.134,0.737,0.129,-0.0258,neutral
0.229,0.614,0.157,-0.4767,negative
0,0.744,0.256,0.4754,positive
0,1,0,0,neutral
0.191,0.809,0,-0.3818,negative
0,0.89,0.11,0.1531,positive
0,1,0,0,neutral
0,1,0,0,neutral
0,1,0,0,neutral
0,1,0,0,neutral
0,1,0,0,neutral
0.088,0.912,0,-0.4404,negative
0,1,0,0,neutral
0.084,0.817,0.099,0.0869,positive
0.104,0.896,0,-0.296,negative
0.16,0.84,0,-0.2732,negative
0,0.892,0.108,0.4404,positive
0.097,0.903,0,-0.1027,negative
0,1,0,0,neutral
0,0.882,0.118,0.4939,positive
0,1,0,0,neutral
0,1,0,0,neutral
0,1,0,0,neutral
0.49,0.373,0.137,-0.8885,negative
0,1,0,0,neutral
0.167,0.833,0,-0.296,negative
0,1,0,0,neutral
0,0.83,0.17,0.5994,positive
0.245,0.755,0,-0.5994,negative
0.15,0.85,0,-0.6597,negative
0,1,0,0,neutral
0.394,0.606,0,-0.7783,negative
0,0.906,0.094,0.4019,positive
0,0.855,0.145,0.2584,positive
0,0.772,0.228,0.6808,positive
0.422,0.578,0,-0.8074,negative
0,1,0,0,neutral
0.243,0.757,0,-0.5423,negative
0,1,0,0,neutral
0,1,0,0,neutral
0,0.885,0.115,0.0772,positive
0.176,0.824,0,-0.4588,negative
0,1,0,0,neutral
0,0.827,0.173,0.5574,positive
0,0.773,0.227,0.4767,positive
0,0.724,0.276,0.7269,positive
0.052,0.871,0.077,0.2023,positive
0,1,0,0,neutral
0,0.714,0.286,0.4939,positive
0,1,0,0,neutral
0,1,0,0,neutral
0,1,0,0,neutral
0.31,0.69,0,-0.5574,negative
0.063,0.804,0.133,0.5023,positive
0,0.734,0.266,0.4404,positive
0.341,0.659,0,-0.6908,negative
0,1,0,0,neutral
0,1,0,0,neutral
0,0.649,0.351,0.7964,positive
0,1,0,0,neutral
0.125,0.875,0,-0.4588,negative
0.097,0.903,0,-0.1027,negative
0,0.802,0.198,0.4939,positive
0,1,0,0,neutral
0,0.581,0.419,0.7579,positive
0.161,0.839,0,-0.5267,negative
0.267,0.647,0.086,-0.7072,negative
0.182,0.818,0,-0.25,negative
0.124,0.876,0,-0.34,negative
0,1,0,0,neutral
0.087,0.717,0.196,0.4404,positive
0,1,0,0,neutral
0,0.878,0.122,0.3612,positive
0,0.792,0.208,0.6705,positive
0,0.849,0.151,0.4939,positive
0,1,0,0,neutral
0,1,0,0,neutral
0,0.84,0.16,0.2732,positive
0,1,0,0,neutral
0.158,0.842,0,-0.5106,negative
0,1,0,0,neutral
0,1,0,0,neutral
0,1,0,0,neutral
0.207,0.793,0,-0.7783,negative
0,1,0,0,neutral
0.167,0.833,0,-0.296,negative
0,1,0,0,neutral
0,1,0,0,neutral
0,1,0,0,neutral
0.282,0.718,0,-0.6705,negative
0,0.865,0.135,0.3612,positive
0.049,0.868,0.083,0.25,positive
0.116,0.8,0.084,-0.2023,negative
0,0.874,0.126,0.0772,positive
0.162,0.838,0,-0.4019,negative
0,1,0,0,neutral
0.099,0.857,0.044,-0.4678,negative
0,1,0,0,neutral
0,0.944,0.056,0.1531,positive
0.084,0.916,0,-0.296,negative
0,0.909,0.091,0.4215,positive
0.174,0.531,0.295,0.3612,positive
0,1,0,0,neutral
0.412,0.588,0,-0.4939,negative
0.201,0.649,0.149,-0.2023,negative
0,1,0,0,neutral
0,1,0,0,neutral
0,0.861,0.139,0.2732,positive
0,1,0,0,neutral
0.518,0.482,0,-0.6486,negative
0,0.897,0.103,0.4767,positive
0.173,0.827,0,-0.4466,negative
0.117,0.83,0.054,-0.4215,negative
0,0.897,0.103,0.4939,positive
0,1,0,0,neutral
0.217,0.691,0.092,-0.5859,negative
0.177,0.75,0.073,-0.5574,negative
0.276,0.588,0.135,-0.5267,negative
0,0.894,0.106,0.3612,positive
0,1,0,0,neutral
0,0.885,0.115,0.0772,positive
0.122,0.878,0,-0.2023,negative
0,1,0,0,neutral
0.172,0.828,0,-0.4019,negative
0,0.813,0.187,0.3182,positive
0,1,0,0,neutral
0,0.833,0.167,0.296,positive
0,0.895,0.105,0.4019,positive
0.275,0.725,0,-0.5859,negative
0,0.915,0.085,0.1027,positive
0,1,0,0,neutral
0,1,0,0,neutral
0.228,0.772,0,-0.7096,negative
0,0.855,0.145,0.296,positive
0,1,0,0,neutral
0,1,0,0,neutral
0.091,0.909,0,-0.128,negative
0,1,0,0,neutral
0.328,0.672,0,-0.5994,negative
0,1,0,0,neutral
0,1,0,0,neutral
0.135,0.865,0,-0.3612,negative
